Item,Quantity,Unit Price,Total,Buy Link
"1.5"" PVC Pipe (10 ft)",216,8.49,,https://www.homedepot.com/s/1.5%20inch%20PVC%20pipe%2010%20ft?Nao=0
"1/2"" Birch Plywood (4x8)",12,65.0,,https://www.homedepot.com/s/1%2F2%20birch%20plywood%204x8?Nao=0
"1/2"" Bolts + Washers + Nuts",1200,$0.50–$0.75 ea,,https://www.homedepot.com/s/1%2F2%20inch%20bolt%20nut%20washer?Nao=0
Heavy-Duty Tarp (sq ft),"1,500–1,800",$0.75–$1.00/sqft,,https://www.homedepot.com/
"3/8"" Rebar (3 ft)",20–30,$3–5 ea,,https://www.homedepot.com/s/3%2F8%20rebar%203%20ft?Nao=0
Guy-Line Rope (ft),500–750,$1.10–$1.60/ft,,https://www.homedepot.com/
Sandbags (50-ct case),1–2,$18.00/case,,https://www.homedepot.com/
PVC Primer & Cement (can),2,$10.98/can,,https://www.homedepot.com/
Drill + Bits,1,Rent $40–60 or buy $60–100,,https://www.homedepot.com/s/drill?Nao=0
Circular Saw,1,Rent $40–60 or buy $60–120,,https://www.homedepot.com/s/circular%20saw?Nao=0
Tape Measure,1,$10–20,,https://www.homedepot.com/s/tape%20measure?Nao=0
"Safety Gear (gloves, goggles)",2–6 sets,$15–40,,https://www.homedepot.com/
